Designator,Quantity,Description,Comment,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,Part Number

"ANT1","1","2.4GHz antenna","2.4GHz antenna","Johansen","2450AT18A100E","Digi-Key","712-1005-1-ND","470-00204-00"
"B1","1","HOLDER COIN CELL 2032 SMD","BATTERY_SOCKET_CR2032","MPD (Memory Protection Devices)","BU2032SM-HD-G","Digi-Key","BU2032SM-HD-GDKR-ND",""
"BAL1","1","","BAL-2450BM14E0003T","","","","",""
"C1, C2","2","CAP CER 0.1UF 100V 10% X7S 0603","CAP_CER_0603_0.1UF_100V_10%_X7S","TDK Corporation","CGA3E3X7S2A104K080AB","Digi-Key","445-6938-1-ND","150-00222-00"
"C4, C5, C10, C11","4","Capacitor, NP0, ±2%","12pF","","","","","C0402-12p"
"C6, C7","2","CAP CER 0.1UF 50V 10% X7R 0603","CAP_CER_0603_0.1UF_50V_10%_X7R","TDK Corporation","CGA3E2X7R1H104K080AA","Digi-Key","445-5666-1-ND","150-00077-00"
"C8, C9","2","CAP CER 2.2UF 6.3V 10% X7R 0603","CAP_CER_0603_2.2UF_6.3V_10%_X7R","TDK Corporation","CGA3E1X7R0J225K080AC","Digi-Key","445-6933-1-ND","150-00101-00"
"C12","1","CAP CER 1.5PF 100V C0G 0603","CAP_CER_0603_1.5PF_100V_C0G","TDK Corporation","251R14S1R0BV4T","Digi-Key","251R14S1R0BV4T","150-00508-00"
"C13","1","CAP CER 0.047UF 25V 10% X7R 0603","CAP_CER_0603_0.047UF_50V_10%_X7R","TDK Corporation","CGA3E2X7R1H473K080AA","Digi-Key","445-5664-1-ND","150-00147-00"
"C14","1","CAP CER 2200PF 50V 5% NP0 0603","CAP_CER_0603_2200PF_50V_5%_NP0","TDK Corporation","CGA3E2C0G1H222J080AA","Digi-Key","445-5656-1-ND","150-00062-00"
